"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2021","1,330.50","1,249.00","1,330.50","1,205.10","0.40K","4.97%"
"06/01/2021","1,267.50","1,315.00","1,322.00","1,267.50","0.25K","-3.21%"
"05/28/2021","1,309.50","1,303.50","1,338.50","1,287.10","0.21K","-1.02%"
"05/27/2021","1,323.00","1,328.40","1,379.70","1,303.80","0.22K","-1.22%"
"05/26/2021","1,339.40","1,361.60","1,430.50","1,334.00","0.56K","-4.12%"
"05/25/2021","1,397.00","1,421.30","1,442.00","1,397.00","0.19K","-2.92%"
"05/24/2021","1,439.00","1,507.10","1,514.80","1,390.00","0.55K","-0.96%"
"05/21/2021","1,453.00","1,445.00","1,453.00","1,430.30","0.25K","4.53%"
"05/20/2021","1,390.00","1,385.20","1,390.00","1,352.20","0.25K","4.75%"
"05/19/2021","1,327.00","1,201.00","1,327.00","1,201.00","0.64K","4.98%"
"05/18/2021","1,264.00","1,273.80","1,289.60","1,264.00","0.32K","-4.75%"
"05/17/2021","1,327.00","1,376.30","1,376.30","1,327.00","0.47K","-15.26%"
"05/14/2021","1,566.00","1,540.00","1,560.00","1,540.00","0.01K","-3.93%"
"05/13/2021","1,630.00","1,630.00","1,675.00","1,577.40","0.04K","1.24%"
"05/12/2021","1,610.00","1,590.00","1,638.40","1,570.00","0.05K","-1.21%"
"05/11/2021","1,629.80","1,585.50","1,630.00","1,550.50","0.09K","1.80%"
"05/10/2021","1,601.00","1,666.80","1,711.20","1,600.00","0.10K","-5.04%"
"05/07/2021","1,686.00","1,677.00","1,702.00","1,652.00","0.06K","2.49%"
"05/06/2021","1,645.00","1,622.60","1,700.00","1,622.60","0.07K","0.62%"
"05/05/2021","1,634.90","1,639.00","1,639.00","1,585.00","0.05K","1.61%"
"05/04/2021","1,609.00","1,592.00","1,615.00","1,589.70","0.08K","2.12%"
"05/03/2021","1,575.60","1,520.60","1,600.00","1,520.60","0.16K","5.00%"
"04/30/2021","1,500.50","1,460.60","1,502.30","1,460.00","0.15K","3.18%"
"04/29/2021","1,454.30","1,425.50","1,454.30","1,425.10","0.19K","2.25%"
"04/28/2021","1,422.30","1,421.70","1,452.20","1,391.40","0.18K","0.13%"
"04/27/2021","1,420.50","1,460.70","1,468.50","1,374.10","0.23K","0.00%"
"04/26/2021","1,420.50","1,385.80","1,420.50","1,385.70","0.14K","3.50%"
"04/23/2021","1,372.50","1,340.20","1,372.50","1,340.20","0.21K","3.62%"
"04/22/2021","1,324.50","1,297.10","1,324.50","1,297.00","0.22K","2.48%"
"04/21/2021","1,292.50","1,251.70","1,311.20","1,243.70","0.55K","1.08%"
"04/20/2021","1,278.70","1,349.50","1,374.70","1,278.70","0.48K","-3.62%"
"04/19/2021","1,326.70","1,291.70","1,326.70","1,287.50","0.14K","2.47%"
"04/16/2021","1,294.70","1,284.70","1,300.00","1,263.90","0.38K","2.70%"
"04/15/2021","1,260.70","1,235.70","1,260.70","1,225.80","0.25K","3.96%"
"04/14/2021","1,212.70","1,185.00","1,212.70","1,183.00","0.21K","2.71%"
"04/13/2021","1,180.70","1,189.50","1,205.50","1,161.10","0.28K","2.00%"
